state_name,sum_land
Texas,173222229898
California,90456155777
Missouri,80404645532
Minnesota,74395673850
Illinois,70794312509
Kansas,69752815156
Oklahoma,67144494658
Iowa,64928024047
Wisconsin,60376360719
Michigan,60028282240
Georgia,58798669290
Arkansas,58159507406
Alabama,57292926995
"North Carolina",55096147246
"New York",54392954017
Arizona,54135667897
Florida,53261412471
Mississippi,53106547762
Pennsylvania,52538873775
Ohio,48368805697
Oregon,47011941867
Louisiana,46156124692
Colorado,44714815851
Indiana,43919081791
Virginia,42882159251
Tennessee,42836963741
Washington,42333138290
Kentucky,40920289068
Nebraska,40424256187
Montana,32270072764
"South Dakota",31068533114
"South Carolina",30346324489
"North Dakota",29519347733
Idaho,27168031522
"West Virginia",27167474867
"New Mexico",23815161694
Utah,20584818430
Maine,17144473840
Alaska,12434914246
Nevada,11645319033
Maryland,11130526459
"New Hampshire",10382322830
Vermont,9492837774
Massachusetts,9212227887
"New Jersey",8226465778
Wyoming,5943678608
Connecticut,5845571990
Hawaii,4567298600
"Puerto Rico",3728860597
Delaware,2025943635
"Rhode Island",1034405160
"District of Columbia",218888485
